Especies,Laguna.1,Laguna.2,Laguna.4,Laguna.6,Laguna.8,Laguna.9
Andinoacara_stalsbergi,1,0,0,0,0,0
Oreochromis_niloticus,9,0,0,1,0,5
Poecilia_reticulata,19,0,2,6,28,0
Poecilia_latipinna,0,0,0,0,6,0
Poecilia_velifera,0,0,0,0,1,0
Bryconamericus_peruanus,15,30,0,1,0,60
Amatitlania_nigrofasciata,0,16,0,1,0,0
